site_id,site_name,site_type,agency,state,latitude,longitude,first_date_data_available,last_date_data_available,record_count,site_query_url,date_metadata_last_updated,tz_cd,doi,huc8,conus1_i,conus1_j,conus2_i,conus2_j,usda_elevation
682:CO:SNTL,Park Reservoir,SNOTEL station,NRCS,CO,39.04433,-107.87951,1978-10-01,2026-01-24,17283,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,14020005,865.0,676.0,1297.0,1627.0,9987.0
683:WY:SNTL,Parker Peak,SNOTEL station,NRCS,WY,44.73396,-109.91484,1981-10-01,2026-01-24,16187,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,10070001,787.0,1323.0,1227.0,2257.0,9400.0
684:UT:SNTL,Parleys Summit,SNOTEL station,NRCS,UT,40.76184,-111.62917,1978-10-01,2026-01-24,17283,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,16020102,578.0,912.0,1020.0,1859.0,7585.0
856:UT:SNTL,Parleys Upper,SNOTEL station,NRCS,UT,40.70194,-111.60619,2019-08-22,2026-01-23,2347,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,16020204,579.0,905.0,1021.0,1853.0,8353.0
971:UT:SNTL,Parrish Creek,SNOTEL station,NRCS,UT,40.93417,-111.81372,1999-10-01,2026-01-24,9613,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,16020102,566.0,933.0,1009.0,1880.0,7740.0
686:UT:SNTL,Payson R.S.,SNOTEL station,NRCS,UT,39.92976,-111.63109,1980-10-01,2026-01-24,16552,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,16020202,562.0,821.0,1004.0,1771.0,8044.0
687:OR:SNTL,Peavine Ridge,SNOTEL station,NRCS,OR,45.04148,-121.93252,1982-01-09,2026-01-24,16087,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17090011,,,346.0,2503.0,3420.0
1299:ID:SNTL,Pebble Creek,SNOTEL station,NRCS,ID,42.7674,-112.10648,2021-06-24,2026-01-24,1676,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17040208,578.0,1137.0,1022.0,2079.0,6513.0
1104:WA:SNTL,Pepper Creek,SNOTEL station,NRCS,WA,46.10242,-121.95555,2007-08-18,2026-01-24,6735,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17080002,,,380.0,2612.0,2140.0
930:MT:SNTL,Peterson Meadows,SNOTEL station,NRCS,MT,46.12588,-113.30792,1970-10-01,2026-01-24,20205,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17010202,552.0,1521.0,1002.0,2450.0,7200.0
