site_id,site_name,state,latitude,longitude,elevation_m,temp_bias_c,prec_total_bias_pct
797:CO:SNTL,Stump Lakes,CO,37.47647,-107.63348,3428.3904,0.1647604041884986,-16.687446722743278
802:CO:SNTL,Summit Ranch,CO,39.71803,-106.1577,2856.2808,0.1166479963196707,-23.45575894597334
825:CO:SNTL,Tower,CO,40.5374,-106.67655,3236.976,0.7012372143025344,-30.164632673343014
838:CO:SNTL,University Camp,CO,40.03307,-105.57562,3157.728,0.8991148875767171,-52.945459170131834
840:CO:SNTL,Upper San Juan,CO,37.48563,-106.83528,3090.672,-0.4438643480287776,-20.88265584379149
1005:CO:SNTL,Ute Creek,CO,37.6148,-105.37322,3271.7232000000004,0.5046323405045887,-31.7383245127146
842:CO:SNTL,Vail Mountain,CO,39.61765,-106.38019,3142.4880000000003,0.1450079183310663,-29.48458566821024
857:CO:SNTL,Whiskey Ck,CO,37.21423,-105.12262,3136.3920000000003,0.8012115200115648,-14.801697656768804
869:CO:SNTL,Willow Creek Pass,CO,40.34734,-106.0952,2902.6104,0.9977051164440868,-20.070653739456933
870:CO:SNTL,Willow Park,CO,40.43397,-105.73588,3271.1136,0.362760843916003,-48.368090132350474
874:CO:SNTL,Wolf Creek Summit,CO,37.47903,-106.80234,3339.6936,0.3072340954113306,-24.35770256866991
1033:CO:SNTL,Zirkel,CO,40.79492,-106.59544,2846.2224,0.0552258516404335,-67.0781681508955
306:ID:SNTL,Atlanta Summit,ID,43.7569,-115.23907,2310.384,0.2756473300206841,-21.300268491028778
312:ID:SNTL,Banner Summit,ID,44.30342,-115.23447,2145.792,0.3269713129440867,-11.11150638957015
319:ID:SNTL,Bear Basin,ID,44.95222,-116.14293,1630.68,0.1878488465376935,-15.653830327660645
324:ID:SNTL,Bear Saddle,ID,44.60533,-116.98097,1883.664,-0.0156417045250916,-11.934325029043496
338:ID:SNTL,Big Creek Summit,ID,44.62621,-115.79561,1999.488,-0.3877166608778311,-16.15198471064902
978:ID:SNTL,Bogus Basin,ID,43.76377,-116.09685,1932.432,-0.9246367063983796,-20.82544431946006
359:ID:SNTL,Bostetter R.S.,ID,42.16442,-114.19272,2286.0,0.2965908721611948,-20.033513167313405
370:ID:SNTL,Brundage Reservoir,ID,45.04315,-116.13253,1905.0,-0.9440997115878772,-17.485771034238688
382:ID:SNTL,Camas Creek Divide,ID,43.26548,-115.3453,1740.408,-0.6627157927339956,-13.02199354112995
411:ID:SNTL,Cool Creek,ID,46.76361,-115.29528,1914.144,-0.325220834377831,-16.123938420253513
424:ID:SNTL,Crab Creek,ID,44.437,-111.99384,2103.12,-0.3777183772476942,-17.99454966524906
425:ID:SNTL,Crater Meadows,ID,46.56394,-115.28903,1816.608,0.1661076524530902,-12.76135136749787
450:ID:SNTL,Dollarhide Summit,ID,43.6025,-114.67417,2566.416,-0.7951788053628435,-16.80777541937691
466:ID:SNTL,Elk Butte,ID,46.83998,-116.12233,1734.312,-0.8789846788698406,-20.825303456850115
484:ID:SNTL,Franklin Basin,ID,42.0505,-111.6012,2481.072,0.6926269973927168,-12.70840243112846
493:ID:SNTL,Giveout,ID,42.4132,-111.1663,2112.264,-0.5756980693543731,-15.03840848106276
496:ID:SNTL,Graham Guard Sta.,ID,43.9538,-115.27387,1734.312,0.6911216011016208,13.427737532808424
520:ID:SNTL,Hemlock Butte,ID,46.48111,-115.63361,1770.888,-0.4596230699337676,-12.62131852622196
988:ID:SNTL,Hidden Lake,ID,48.8937,-116.75748,1536.192,-0.6279558178273585,-17.838006214942187
524:ID:SNTL,Hilts Creek,ID,44.01897,-113.4723,2438.4,-0.9243050733390186,-12.409401348754852
534:ID:SNTL,Howell Canyon,ID,42.32029,-113.61587,2432.304,-0.0747805560324864,-39.55903626483309
546:ID:SNTL,Island Park,ID,44.4203,-111.38512,1917.192,-0.8008348077582417,-22.217738929422826
588:ID:SNTL,Lolo Pass,ID,46.63448,-114.58072,1597.152,-0.4193305262065983,-10.784576377952751
594:ID:SNTL,Lookout,ID,47.45749,-115.70457,1581.912,-0.9934948033264428,-13.017113765951676
600:ID:SNTL,Lost Lake,ID,47.0809,-115.9604,1862.328,-0.3880606665292815,-21.06105697882865
610:ID:SNTL,Magic Mountain,ID,42.18072,-114.28662,2097.024,0.1959509402330343,-27.628115836984808
620:ID:SNTL,Meadow Lake,ID,44.43655,-113.31815,2788.92,-0.9641442477750914,-38.16841670813453
623:ID:SNTL,Mica Creek,ID,47.15045,-116.26643,1374.648,0.1918204495787518,-11.856615915968264
627:ID:SNTL,Mill Creek Summit,ID,44.47212,-114.48992,2682.24,-0.8461841524086529,-25.065939257592788
636:ID:SNTL,Moonshine,ID,44.4147,-113.39812,2267.712,0.6586849132032192,-20.890138651146863
638:ID:SNTL,Moose Creek,ID,45.67008,-113.95315,1889.76,-0.228448962431296,-15.806236117879404
637:ID:SNTL,Mores Creek Summit,ID,43.932,-115.66588,1859.28,-0.2631493423470096,-14.075070323106164
639:ID:SNTL,Morgan Creek,ID,44.84237,-114.26871,2316.48,0.609444200076717,-13.92504184359153
645:ID:SNTL,Mosquito Ridge,ID,48.05726,-116.23055,1603.248,-0.1223182304246568,-24.702545931758543
650:ID:SNTL,Mountain Meadows,ID,45.69694,-115.22972,1926.336,-0.2755802892334025,-19.527779239265573
654:ID:SNTL,Mud Flat,ID,42.6004,-116.55925,1746.504,-0.7434282855285163,-49.61779087054678
677:ID:SNTL,Oxford Spring,ID,42.26015,-112.12515,2054.3520000000003,-0.3453824633779538,-14.020045720091453
695:ID:SNTL,Pine Creek Pass,ID,43.56998,-111.21157,2048.2560000000003,0.1700848889526324,-33.014683009984566
704:ID:SNTL,Prairie,ID,43.50513,-115.573,1463.04,-0.3437614315098216,-10.08343871195206
915:ID:SNTL,Schwartz Lake,ID,44.84618,-113.83732,2630.424,-0.2976040170018139,-36.593869516310455
738:ID:SNTL,Schweitzer Basin,ID,48.37428,-116.63917,1856.232,-0.1558493229624317,-22.532216191422663
747:ID:SNTL,Shanghi Summit,ID,46.56603,-115.74216,1402.0800000000002,-0.5402858866586312,-10.554355656038036
749:ID:SNTL,Sheep Mtn.,ID,43.2103,-111.68792,2026.92,-0.4766814839313366,-24.58115642261135
761:ID:SNTL,Slug Creek Divide,ID,42.56248,-111.29797,2202.1800000000003,-0.5867971873748625,-23.711562491052256
770:ID:SNTL,Somsen Ranch,ID,42.95275,-111.35933,2072.6400000000003,-0.8047167956364245,-21.129627841331153
782:ID:SNTL,Squaw Flat,ID,44.77091,-116.24805,1901.952,0.2933331995948027,-14.527134874269745
792:ID:SNTL,Stickney Mill,ID,43.86117,-114.20902,2264.664,0.3924123777976416,17.238715191088907
803:ID:SNTL,Sunset,ID,47.55545,-115.82422,1688.592,-0.6018191714686131,-12.43292388451443
805:ID:SNTL,Swede Peak,ID,43.626,-113.96887,2328.672,0.8348176599920096,-16.735922053860886
979:ID:SNTL,Van Wyck,ID,44.37665,-116.3366,1499.616,-0.7220553163369738,-19.226777255609832
845:ID:SNTL,Vienna Mine,ID,43.79942,-114.85273,2731.0080000000003,0.7659277044372369,-16.683843605756195
855:ID:SNTL,West Branch,ID,45.0722,-116.45413,1694.688,-0.0369339595593378,-13.888860517435312
